Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Betyg per ämne årskurs 6
Valt läsår: 2018/19

;;;;;;Antal elever;Antal elever;Antal elever;Andel (%) med A-E;Andel (%) med A-E;Andel (%) med A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Ale;1440;Västra Götalands län;14;Samtliga;Bild;415;219;196;98,8;~100;~100;13,8;15,5;11,9;
Ale;1440;Västra Götalands län;14;Kommunal;Bild;393;207;186;98,7;~100;~100;13,8;15,5;11,9;
Ale;1440;Västra Götalands län;14;Enskild;Bild;22;12;10;100,0;100,0;100,0;14,0;15,0;12,8;
Alingsås;1489;Västra Götalands län;14;Samtliga;Bild;530;262;268;98,3;~100;..;14,1;15,4;12,9;
Alingsås;1489;Västra Götalands län;14;Kommunal;Bild;433;207;226;98,2;~100;..;14,3;15,6;13,2;
Alingsås;1489;Västra Götalands län;14;Enskild;Bild;97;55;42;~100;100,0;~100;13,4;14,7;11,6;
Alvesta;0764;Kronobergs län;07;Samtliga;Bild;243;114;129;~100;100,0;~100;13,1;14,7;11,7;
Alvesta;0764;Kronobergs län;07;Kommunal;Bild;234;109;125;~100;100,0;~100;13,1;14,7;11,7;
Alvesta;0764;Kronobergs län;07;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Aneby;0604;Jönköpings län;06;Samtliga;Bild;77;40;37;92,2;~100;..;12,6;13,8;11,3;
Aneby;0604;Jönköpings län;06;Kommunal;Bild;74;38;36;93,2;100,0;86,1;12,8;14,2;11,3;
Aneby;0604;Jönköpings län;06;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Arboga;1984;Västmanlands län;19;Samtliga;Bild;145;63;82;~100;~100;~100;14,4;16,7;12,7;
Arboga;1984;Västmanlands län;19;Kommunal;Bild;145;63;82;~100;~100;~100;14,4;16,7;12,7;
Arjeplog;2506;Norrbottens län;25;Samtliga;Bild;25;14;11;~100;100,0;~100;12,2;13,9;10,0;
Arjeplog;2506;Norrbottens län;25;Kommunal;Bild;25;14;11;~100;100,0;~100;12,2;13,9;10,0;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Bild;55;18;37;100,0;100,0;100,0;13,6;16,7;12,2;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Bild;55;18;37;100,0;100,0;100,0;13,6;16,7;12,2;
Arvika;1784;Värmlands län;17;Samtliga;Bild;291;134;157;98,3;~100;~100;13,8;15,4;12,5;
Arvika;1784;Värmlands län;17;Kommunal;Bild;291;134;157;98,3;~100;~100;13,8;15,4;12,5;
Askersund;1882;Örebro län;18;Samtliga;Bild;111;52;59;~100;100,0;~100;11,7;12,3;11,1;
Askersund;1882;Örebro län;18;Kommunal;Bild;111;52;59;~100;100,0;~100;11,7;12,3;11,1;
Avesta;2084;Dalarnas län;20;Samtliga;Bild;255;143;112;97,3;..;~100;13,6;14,4;12,7;
Avesta;2084;Dalarnas län;20;Kommunal;Bild;242;134;108;97,1;..;~100;13,6;14,4;12,6;
Avesta;2084;Dalarnas län;20;Enskild;Bild;13;..;..;100,0;..;..;14,6;..;..;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Bild;107;48;59;92,5;100,0;86,4;11,3;13,5;9,5;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Bild;107;48;59;92,5;100,0;86,4;11,3;13,5;9,5;
Berg;2326;Jämtlands län;23;Samtliga;Bild;89;45;44;~100;~100;~100;14,2;15,2;13,1;
Berg;2326;Jämtlands län;23;Kommunal;Bild;84;41;43;~100;~100;~100;14,0;15,0;13,1;
Berg;2326;Jämtlands län;23;Enskild;Bild;..;..;..;..;..;..;..;..;..;
Bjurholm;2403;Västerbottens län;24;Samtliga;Bild;25;..;..;~100;..;100,0;12,3;..;13,1;
Bjurholm;2403;Västerbottens län;24;Kommunal;Bild;25;..;..;~100;..;100,0;12,3;..;13,1;
Bjuv;1260;Skåne län;12;Samtliga;Bild;194;96;98;96,9;~100;~100;13,8;14,5;13,0;
Bjuv;1260;Skåne län;12;Kommunal;Bild;194;96;98;96,9;~100;~100;13,8;14,5;13,0;
Boden;2582;Norrbottens län;25;Samtliga;Bild;298;144;154;97,0;100,0;94,2;13,6;15,3;12,1;
Boden;2582;Norrbottens län;25;Kommunal;Bild;235;115;120;96,2;100,0;92,5;13,5;15,2;11,8;
Boden;2582;Norrbottens län;25;Enskild;Bild;63;29;34;100,0;100,0;100,0;14,2;15,8;12,9;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Bild;123;63;60;~100;100,0;~100;14,5;16,3;12,7;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Bild;101;54;47;~100;100,0;~100;14,3;15,9;12,5;
Bollebygd;1443;Västra Götalands län;14;Enskild;Bild;22;..;..;100,0;..;100,0;15,5;..;13,3;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Bild;298;158;140;98,0;~100;..;13,7;15,1;12,1;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Bild;264;141;123;97,7;~100;..;13,6;15,1;11,9;
Bollnäs;2183;Gävleborgs län;21;Enskild;Bild;34;17;17;100,0;100,0;100,0;14,8;15,9;13,7;
Borgholm;0885;Kalmar län;08;Samtliga;Bild;84;44;40;~100;~100;100,0;14,2;15,8;12,6;
Borgholm;0885;Kalmar län;08;Kommunal;Bild;84;44;40;~100;~100;100,0;14,2;15,8;12,6;
Borlänge;2081;Dalarnas län;20;Samtliga;Bild;602;287;315;96,3;~100;..;13,2;14,7;11,8;
Borlänge;2081;Dalarnas län;20;Kommunal;Bild;526;252;274;96,6;~100;..;13,4;14,9;12,1;
Borlänge;2081;Dalarnas län;20;Enskild;Bild;76;35;41;~100;100,0;~100;11,9;13,7;10,4;
Borås;1490;Västra Götalands län;14;Samtliga;Bild;1 329;659;670;98,3;98,9;97,6;13,9;15,2;12,6;
Borås;1490;Västra Götalands län;14;Kommunal;Bild;1 066;532;534;98,0;98,7;97,4;13,8;15,2;12,4;
Borås;1490;Västra Götalands län;14;Enskild;Bild;263;127;136;~100;100,0;~100;14,2;15,3;13,3;
Botkyrka;0127;Stockholms län;01;Samtliga;Bild;1 020;513;507;96,7;97,3;96,1;13,5;14,9;12,1;
Botkyrka;0127;Stockholms län;01;Kommunal;Bild;873;426;447;96,4;97,2;95,7;13,3;14,8;11,8;
Botkyrka;0127;Stockholms län;01;Enskild;Bild;147;87;60;~100;~100;~100;14,7;15,4;13,7;
Boxholm;0560;Östergötlands län;05;Samtliga;Bild;50;24;26;~100;~100;100,0;13,4;14,4;12,5;
Boxholm;0560;Östergötlands län;05;Kommunal;Bild;50;24;26;~100;~100;100,0;13,4;14,4;12,5;
Bromölla;1272;Skåne län;12;Samtliga;Bild;183;85;98;93,4;..;~100;14,3;15,8;13,0;
Bromölla;1272;Skåne län;12;Kommunal;Bild;183;85;98;93,4;..;~100;14,3;15,8;13,0;
Bräcke;2305;Jämtlands län;23;Samtliga;Bild;66;29;37;100,0;100,0;100,0;12,5;13,0;12,0;
Bräcke;2305;Jämtlands län;23;Kommunal;Bild;66;29;37;100,0;100,0;100,0;12,5;13,0;12,0;
Burlöv;1231;Skåne län;12;Samtliga;Bild;195;98;97;88,7;88,8;88,7;12,3;13,7;11,0;
Burlöv;1231;Skåne län;12;Kommunal;Bild;195;98;97;88,7;88,8;88,7;12,3;13,7;11,0;
Båstad;1278;Skåne län;12;Samtliga;Bild;167;82;85;~100;100,0;~100;13,7;15,0;12,4;
Båstad;1278;Skåne län;12;Kommunal;Bild;153;73;80;~100;100,0;~100;13,6;14,9;12,3;
Båstad;1278;Skåne län;12;Enskild;Bild;14;..;..;100,0;..;..;15,5;..;..;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Bild;56;25;31;~100;100,0;~100;13,4;15,1;11,9;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Bild;56;25;31;~100;100,0;~100;13,4;15,1;11,9;
Danderyd;0162;Stockholms län;01;Samtliga;Bild;514;248;266;~100;100,0;~100;15,5;16,8;14,3;
Danderyd;0162;Stockholms län;01;Kommunal;Bild;485;230;255;~100;100,0;~100;15,5;16,8;14,2;
Danderyd;0162;Stockholms län;01;Enskild;Bild;29;18;11;100,0;100,0;100,0;16,6;17,1;15,7;
Degerfors;1862;Örebro län;18;Samtliga;Bild;80;42;38;~100;100,0;~100;13,2;14,8;11,4;
Degerfors;1862;Örebro län;18;Kommunal;Bild;80;42;38;~100;100,0;~100;13,2;14,8;11,4;
Eda;1730;Värmlands län;17;Samtliga;Bild;82;40;42;~100;~100;~100;14,5;15,8;13,1;
