eventId,eventNumber,eventName_sv,eventName_en,eventDate,eventTime,eventTimestamp,eventHasFaceToFace,filmId,partyId,venueId,venueName,eventTicketStatus,eventBuyURL,eventBuyOneTimeURL,eventModifiedTimestamp
8363,3010,Festivalens favoriter: Jesus+Skate Kitchen,The Festival's favourites: Jesus+Skate Kitchen,2018-10-30,18:30:00,1540920600,false,12553,NA,1,Skandia,NA,NA,NA,1540915556
7989,101,When the trees fall,When the trees fall,2018-11-07,09:00:00,1541577600,false,12489,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7989,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7989,1541543915
7990,102,Lemonade,Lemonade,2018-11-07,11:00:00,1541584800,false,12484,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7990,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7990,1541547789
7991,103,Diane,Diane,2018-11-07,11:00:00,1541584800,false,12384,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7991,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7991,1541515815
7992,104,American Chaos,American Chaos,2018-11-07,11:15:00,1541585700,false,12491,NA,7,Sture 2,soldout,NA,NA,1541519754
7993,105,Trafikljusen Blir Blå Imorgon,The Traffic Lights Turn Blue Tomorrow,2018-11-07,11:15:00,1541585700,false,12552,NA,8,Sture 3,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7993,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7993,1541489371
7994,106,Sibel,Sibel,2018-11-07,12:45:00,1541591100,false,12451,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7994,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7994,1541518783
7995,107,The Summer House,The Summer House,2018-11-07,13:00:00,1541592000,false,12463,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7995,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7995,1541531925
7996,108,"Love, Gilda","Love, Gilda",2018-11-07,13:00:00,1541592000,false,12494,NA,7,Sture 2,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7996,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7996,1541544154
7997,109,Dröm Vidare,Beyond Dream,2018-11-07,13:00:00,1541592000,false,12550,NA,8,Sture 3,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7997,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7997,1541541358
7998,110,Hard Paint,Hardpaint,2018-11-07,14:30:00,1541597400,false,12404,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7998,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7998,1541548236
7999,111,En dag till att leva,Another Day of Life,2018-11-07,15:00:00,1541599200,false,12482,NA,7,Sture 2,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7999,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7999,1541568414
8000,112,Thunder Road,Thunder Road,2018-11-07,15:00:00,1541599200,false,12393,NA,8,Sture 3,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8000,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8000,1541544154
