Tandhälsa, Personer som besökt tandvården någon gång under de två senaste åren, Antal personer, 23 år och äldre
Region;Kön;2010;2011;2012;2013;2014;2015;2016;2017;2018
Upplands­Väsby;Män;8500;8654;8728;8805;8936;9191;9331;9408;9624
Upplands­Väsby;Kvinnor;9924;10073;10231;10443;10481;10810;11031;11070;11194
Vallentuna;Män;7150;7268;7289;7236;7306;7545;7698;7751;7800
Vallentuna;Kvinnor;8135;8279;8371;8423;8395;8706;8905;8932;8985
Österåker;Män;9629;9781;9704;9687;9509;9815;10100;10224;10309
Österåker;Kvinnor;10905;11076;10771;10687;10550;11044;11339;11458;11557
Värmdö;Män;8985;9131;9173;9171;9139;9458;9685;9854;9959
Värmdö;Kvinnor;9827;10007;10082;10026;10081;10427;10812;10980;11078
Järfälla;Män;15814;15937;15934;15930;15790;16313;16707;16974;17002
Järfälla;Kvinnor;18115;18242;18294;18195;18258;18783;19246;19474;19654
Ekerö;Män;6313;6332;6310;6312;6430;6596;6632;6640;6625
Ekerö;Kvinnor;7054;7118;7012;7003;7003;7324;7463;7413;7433
Huddinge;Män;20476;20774;20782;21101;21047;21420;21549;21858;22253
Huddinge;Kvinnor;23324;23529;23495;23937;23838;24515;24748;25059;25692
Botkyrka;Män;15395;15695;15844;15974;15933;16552;16907;16913;17043
Botkyrka;Kvinnor;17757;18048;18094;18155;18109;18916;19188;19377;19607
Salem;Män;3474;3535;3586;3527;3527;3574;3635;3717;3719
Salem;Kvinnor;4022;4089;4147;4175;4183;4215;4336;4409;4422
Haninge;Män;16152;16503;16540;16637;16527;17101;17516;17769;17965
Haninge;Kvinnor;18474;18824;18826;18693;18625;19589;20070;20360;20554
Tyresö;Män;10028;10146;10206;10215;10271;10544;10829;10958;10920
Tyresö;Kvinnor;11588;11683;11685;11765;11794;12133;12511;12700;12732
Upplands­Bro;Män;5380;5397;5420;5437;5432;5587;5767;5877;6020
Upplands­Bro;Kvinnor;6097;6189;6182;6143;6275;6422;6498;6653;6890
Nykvarn;Män;2352;2351;2362;2345;2384;2453;2550;2614;2673
Nykvarn;Kvinnor;2558;2572;2569;2567;2608;2688;2753;2843;2914
Täby;Män;16356;16416;16383;16460;16564;17070;17178;17229;17368
Täby;Kvinnor;18816;19015;18854;18892;19111;19759;19802;19872;20044
Danderyd;Män;7781;7877;7850;7948;7930;8008;8093;8056;8201
Danderyd;Kvinnor;9338;9409;9427;9381;9355;9470;9524;9575;9565
Sollentuna;Män;15125;15210;15362;15581;15547;16000;16145;16032;16385
Sollentuna;Kvinnor;17505;17713;17759;17956;17964;18551;18715;18565;18937
Stockholm;Män;197157;200413;202751;205653;206448;211766;215129;216969;218325
Stockholm;Kvinnor;238915;242759;244655;247296;247895;254651;259088;261960;264052
Södertälje;Män;18397;18880;19256;19423;19432;19737;20002;20230;20582
Södertälje;Kvinnor;20850;21438;21655;21952;21796;22130;22507;22694;22950
Nacka;Män;21155;21522;21527;21492;21592;22355;22479;22407;22790
Nacka;Kvinnor;24929;25214;25198;25201;25210;26306;26634;26837;27121
Sundbyberg;Män;8778;8880;8920;9120;9493;9985;10400;10778;11079
Sundbyberg;Kvinnor;10426;10544;10611;10744;11095;11817;12156;12661;12926
Solna;Män;16249;16550;16745;16862;17052;17704;18237;18454;18701
Solna;Kvinnor;19659;19780;19977;20251;20274;20981;21546;21717;21955
Lidingö;Män;11116;11198;11090;11105;11218;11442;11644;11811;11845
Lidingö;Kvinnor;13584;13644;13462;13507;13458;13973;14135;14080;14124
Vaxholm;Män;2613;2674;2721;2714;2712;2790;2823;2868;2874
Vaxholm;Kvinnor;3085;3118;3122;3126;3109;3204;3299;3386;3424
Norrtälje;Män;14705;14862;14734;14756;14783;15221;15504;15790;16074
Norrtälje;Kvinnor;16068;16167;16006;16034;16104;16747;17099;17473;17913
Sigtuna;Män;8652;8693;8656;8691;8764;8885;9121;9294;9398
Sigtuna;Kvinnor;10152;10247;10214;10178;10188;10411;10595;10725;10914
Nynäshamn;Män;6177;6269;6246;6373;6413;6537;6497;6398;6399
Nynäshamn;Kvinnor;6889;6901;6899;6985;7000;7355;7380;7356;7378
Håbo;Män;4936;4997;5044;5015;5001;4936;5039;5192;5196
Håbo;Kvinnor;5358;5437;5453;5468;5486;5427;5557;5745;5815
Älvkarleby;Män;2450;2448;2424;2434;2465;2495;2431;2423;2404
Älvkarleby;Kvinnor;2624;2673;2643;2643;2630;2649;2635;2632;2627
Knivsta;Män;3521;3647;3700;3807;3913;3957;4018;4088;4156
Knivsta;Kvinnor;3861;3975;4073;4155;4276;4414;4497;4509;4622
Heby;Män;3311;3490;3567;3566;3414;3558;3580;3459;3349
Heby;Kvinnor;3399;3571;3674;3689;3605;3744;3747;3661;3623
Tierp;Män;5304;5475;5515;5397;5192;5299;5512;5604;5431
Tierp;Kvinnor;5606;5803;5888;5776;5601;5663;5904;5984;5854
Uppsala;Män;46553;47582;48689;49626;49652;49359;50046;50960;52150
Uppsala;Kvinnor;55180;56359;57548;58245;58577;58527;59329;60593;62096
