Dödsorsaksstatistik, Antal döda, Ålder: 0-85+
År;Diagnos;Kön;Stockholms län;Uppsala län;Södermanlands län;Östergötlands län;Jönköpings län;Kronobergs län;Kalmar län;Gotlands län;Blekinge län;Skåne län;Hallands län;Västra Götalands län;Värmlands län;Örebro län;Västmanlands län;Dalarnas län;Gävleborgs län;Västernorrlands län;Jämtlands län;Västerbottens län;Norrbottens län
2016;Samtliga dödsorsaker;Män;7604;1375;1445;2082;1589;885;1407;325;919;5770;1438;7437;1547;1468;1337;1524;1509;1422;692;1278;1432
2016;Samtliga dödsorsaker;Kvinnor;8336;1374;1512;2168;1658;897;1370;316;848;6187;1496;7670;1653;1534;1383;1630;1645;1457;735;1333;1384
2016;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;151;24;19;31;28;15;33;8;23;88;29;134;24;27;25;28;29;18;18;11;20
2016;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;66;13;7;17;12;6;10;2;7;51;13;87;9;8;7;4;13;6;3;5;5
2015;Samtliga dödsorsaker;Män;7646;1349;1464;2039;1643;920;1375;319;824;5724;1362;7308;1646;1497;1261;1584;1629;1465;730;1332;1423
2015;Samtliga dödsorsaker;Kvinnor;8210;1407;1461;2121;1751;928;1400;310;863;6083;1439;7685;1605;1445;1349;1594;1746;1553;773;1331;1402
2015;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;156;24;31;24;30;16;24;9;20;111;22;165;32;26;22;23;27;25;12;18;31
2015;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;74;13;5;10;6;7;10;1;4;46;16;53;8;9;13;13;15;7;6;9;6
2014;Samtliga dödsorsaker;Män;7372;1309;1384;2057;1658;875;1317;253;858;5715;1443;7289;1490;1352;1227;1464;1566;1399;738;1277;1421
2014;Samtliga dödsorsaker;Kvinnor;8297;1405;1388;2082;1697;872;1335;302;803;6057;1447;7399;1554;1468;1318;1583;1655;1512;759;1301;1399
2014;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;132;13;27;39;20;21;26;10;13;109;22;132;30;31;26;24;29;27;16;14;28
2014;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;79;11;5;15;10;3;13;5;2;40;7;78;7;13;10;8;14;13;9;6;16
2013;Samtliga dödsorsaker;Män;7157;1382;1368;2049;1581;909;1349;307;860;5819;1402;7293;1588;1490;1169;1551;1606;1392;730;1300;1441
2013;Samtliga dödsorsaker;Kvinnor;8105;1351;1470;2244;1765;985;1356;353;809;6332;1447;7763;1621;1605;1339;1597;1595;1512;785;1428;1322
2013;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;164;37;24;44;36;17;22;2;20;101;29;147;32;31;33;26;27;25;10;15;22
2013;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;100;9;10;16;11;4;8;5;3;55;7;62;12;11;11;1;9;7;10;10;7
2012;Samtliga dödsorsaker;Män;7237;1361;1464;2046;1628;910;1374;284;867;5854;1442;7457;1558;1461;1280;1603;1607;1426;702;1303;1473
2012;Samtliga dödsorsaker;Kvinnor;8324;1395;1474;2245;1840;958;1462;347;895;6454;1423;7798;1640;1545;1361;1723;1729;1523;759;1407;1381
2012;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;156;24;23;46;33;13;30;7;10;101;24;144;26;39;26;18;30;19;12;14;26
2012;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;78;13;10;15;9;8;10;7;8;44;12;51;10;11;8;8;10;5;2;8;8
2011;Samtliga dödsorsaker;Män;7376;1317;1399;1973;1670;874;1363;287;839;5688;1447;7157;1472;1475;1262;1485;1582;1447;735;1325;1423
2011;Samtliga dödsorsaker;Kvinnor;8194;1417;1485;2159;1820;886;1418;323;873;5922;1410;7732;1576;1552;1311;1600;1685;1512;799;1292;1379
2011;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;137;21;20;47;29;17;36;7;10;103;28;112;35;30;22;29;21;20;16;18;29
2011;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;81;7;11;9;4;11;7;1;4;41;14;64;13;15;3;7;8;7;4;3;9
2010;Samtliga dödsorsaker;Män;7431;1270;1373;2015;1698;930;1321;321;826;5787;1369;7401;1577;1407;1255;1471;1596;1487;722;1282;1379
2010;Samtliga dödsorsaker;Kvinnor;8212;1406;1465;2152;1793;894;1386;312;851;6095;1417;7861;1654;1522;1270;1694;1670;1550;756;1330;1310
2010;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;154;24;27;39;36;17;25;5;18;110;24;122;39;30;26;34;30;23;15;16;22
