kod,kommun,bild,engelska,idrott och hälsa,matematik,svenska,slöjd
1440,Ale,13.8,14.7,15.1,13.5,14.3,14.1
1489,Alingsås,14.2,14.1,13.9,12.8,13.8,13.3
0764,Alvesta,12.5,11.6,11.7,10.9,12.6,11.6
0604,Aneby,11.5,12.6,13.9,13.3,13.6,14.2
1984,Arboga,13.6,13.3,12.9,12.7,12.4,14.1
2506,Arjeplog,9.9,12.3,13.2,12.6,12.6,11.2
2505,Arvidsjaur,15.9,14.5,17.1,14.1,14.1,15.6
1784,Arvika,14.1,13.8,14.5,12.5,13.3,13.1
1882,Askersund,11.6,11,11.9,8.7,11.1,12.9
2084,Avesta,13.6,13.3,14,12.1,12.7,13.8
1460,Bengtsfors,13,11.8,10.8,10.4,12.1,13.9
2326,Berg,13.9,12.9,16.2,11.7,13,13.3
2403,Bjurholm,10.8,10.4,10,8,12.3,10.6
1260,Bjuv,13.8,13.4,12.6,11.1,12.2,12.7
2582,Boden,14.1,13.3,14.9,12.5,13.4,14
1443,Bollebygd,13.8,14.4,14.9,13.1,14.2,14.1
2183,Bollnäs,13.6,13,13.1,11.3,12.6,12.4
0885,Borgholm,15,13.6,13.2,12.2,15.2,15
2081,Borlänge,13.3,12.7,13.2,11.3,12.7,12.9
1490,Borås,13.1,13.7,13.8,12,13,13.5
0127,Botkyrka,13.6,12.6,11.7,11.4,12.4,12.8
0560,Boxholm,14,13.6,13.5,12,12.6,12.7
1272,Bromölla,12.8,13.4,12.9,10.9,12.4,13.4
2305,Bräcke,12,13.8,13.2,12.6,12.6,13.5
1231,Burlöv,13.9,13.2,13,11.4,13,14.6
1278,Båstad,13,12.9,13.6,10.9,11.5,13.8
1438,Dals-Ed,13.5,12.8,13.4,10.7,11.6,14.7
0162,Danderyd,15.4,16.7,15.9,15.5,15.4,14.7
1862,Degerfors,12.6,12.1,12.4,10,11.5,12.2
2425,Dorotea,12,11,11.7,10.8,12,11.1
1730,Eda,13.2,13.2,12,11.4,13.4,12.7
0125,Ekerö,15.3,15.5,14.5,14.3,14,15.1
0686,Eksjö,13.2,12.7,14.5,12.5,13,13.6
