country-iso,confirmed,deaths
AFG,208324,7872
AGO,105184,1931
ALB,334135,3596
AND,47820,165
ARE,1049024,2348
ARG,10032709,130394
ARM,446008,8717
ATG,9106,146
AUS,11292729,18596
AUT,5766100,21649
AZE,827823,10077
BDI,52429,38
BEL,4691499,33557
BEN,27989,163
BFA,22025,396
BGD,2037478,29441
BGR,1295182,38172
BHR,700247,1541
BHS,37491,833
BIH,401320,16250
BLR,994037,7118
BLZ,70610,688
BOL,1185748,22343
BRA,36768677,696603
BRB,106157,571
BRN,275220,225
BTN,62598,21
BWA,328887,2798
CAF,15361,113
CAN,4560452,50479
CHE,4406243,14244
CHL,5111145,63730
CHN,4894391,91204
CIV,87970,833
CMR,123993,1965
COD,95473,1463
COG,25375,388
COL,6352923,142186
COM,8992,161
CPV,63227,413
CRI,1182371,9142
CUB,1112394,8530
CYP,640729,1280
CZE,4588086,42296
DEU,37728155,165314
DJI,15690,189
DMA,15760,74
DNK,3445643,8163
DOM,659981,4384
DZA,271364,6881
ECU,1051239,35942
EGY,515645,24805
ERI,10189,103
ESP,13722677,118183
EST,613531,2904
ETH,499420,7572
FIN,1458619,8639
FJI,68820,883
FRA,39708282,165077
GAB,48980,306
GBR,24507203,218026
GEO,1814180,16926
GHA,171112,1462
GIN,38240,467
GMB,12586,372
GNB,8947,176
GNQ,17186,183
GRC,5548487,34779
GRD,19680,238
GTM,1225806,20088
GUY,72878,1294
HND,470337,11102
HRV,1267344,17847
HTI,34008,860
HUN,2191827,48658
IDN,6728998,160799
IND,44682338,530738
IRL,1700253,8462
IRN,7563825,144744
IRQ,2465545,25375
ISL,208605,199
ISR,4783778,12170
ITA,25415630,186488
JAM,153407,3480
JOR,1746997,14122
JPN,32333081,66715
KAZ,1496183,19065
KEN,342810,5688
KGZ,206591,2991
KHM,138681,3056
KIR,4991,18
KNA,6590,46
KOR,30107363,33332
KWT,662858,2570
LAO,217959,758
LBN,1227889,10783
LBR,8053,294
LBY,507159,6437
LCA,29803,409
LIE,21343,89
LKA,671986,16826
LSO,34790,723
LTU,1295376,9535
LUX,314481,1207
LVA,975217,6211
MAR,1272207,16296
MCO,16052,65
MDA,598073,11950
MDG,67817,1419
MDV,185713,311
MEX,7353630,332026
MHL,15554,17
MKD,346428,9638
MLI,32777,743
MLT,116953,824
MMR,633815,19490
MNE,286152,2796
MNG,1007862,2136
MOZ,231994,2233
MRT,63664,997
MUS,294089,1043
MWI,88505,2686
MYS,5035377,36936
NAM,170496,4083
NER,9508,315
NGA,266463,3155
NIC,15541,245
NLD,8693192,23704
NOR,1477620,5112
NPL,1001086,12020
NRU,4621,1
NZL,2179524,2470
OMN,399154,4628
PAK,1576221,30640
PAN,1029061,8594
PER,4477551,218686
PHL,4072488,65735
PLW,5986,9
PNG,46663,669
POL,6377240,118705
PRT,5562889,25987
PRY,805486,19778
PSE,703228,5708
QAT,492234,686
RKS,272521,3202
ROU,3322648,67542
RUS,21608107,386911
RWA,133090,1468
SAU,827772,9564
SDN,63729,5001
SEN,88900,1968
SGP,2215109,1720
SLB,24575,153
SLE,7760,126
SLV,201785,4230
SMR,23403,122
SOM,27318,1361
SRB,2467970,17681
SSD,18368,138
STP,6279,77
SUR,82020,1398
SVK,2660278,20924
SVN,1320618,7053
SWE,2693458,23279
SWZ,74114,1422
SYC,50355,172
SYR,57450,3164
TCD,7652,194
TGO,39353,290
THA,4726512,33836
TJK,17786,125
TLS,23412,138
TON,16672,13
TTO,187585,4319
TUN,1150278,29302
TUR,17042722,101492
TUV,2805,0
TWN,9404138,16189
TZA,42600,846
UGA,170328,3630
UKR,5676022,118928
URY,1031581,7601
USA,102259155,1107542
UZB,250463,1637
VAT,29,0
VCT,9581,123
VEN,551389,5843
VNM,11526365,43186
VUT,12014,14
WSM,16022,29
YEM,11945,2159
ZAF,4055054,102595
ZMB,339949,4043
ZWE,261606,5652
