Date,Price
2023-01-06,3895.080078125
2023-01-09,3892.0900878906
2023-01-10,3919.25
2023-01-11,3969.6101074219
2023-01-12,3983.169921875
2023-01-13,3999.0900878906
2023-01-17,3990.9699707031
2023-01-18,3928.8601074219
2023-01-19,3898.8500976562
2023-01-20,3972.6101074219
2023-01-23,4019.8100585938
2023-01-24,4016.9499511719
2023-01-25,4016.2199707031
2023-01-26,4060.4299316406
2023-01-27,4070.5600585938
2023-01-30,4017.7700195312
2023-01-31,4076.6000976562
2023-02-01,4119.2099609375
2023-02-02,4179.759765625
2023-02-03,4136.4799804688
2023-02-06,4111.080078125
2023-02-07,4164.0
2023-02-08,4117.8598632812
2023-02-09,4081.5
2023-02-10,4090.4599609375
2023-02-13,4137.2900390625
2023-02-14,4136.1298828125
2023-02-15,4147.6000976562
2023-02-16,4090.4099121094
2023-02-17,4079.0900878906
2023-02-21,3997.3400878906
2023-02-22,3991.0500488281
2023-02-23,4012.3200683594
2023-02-24,3970.0400390625
2023-02-27,3982.2399902344
2023-02-28,3970.1499023438
2023-03-01,3951.3898925781
2023-03-02,3981.3500976562
2023-03-03,4045.6398925781
2023-03-06,4048.419921875
2023-03-07,3986.3701171875
2023-03-08,3992.0100097656
2023-03-09,3918.3200683594
2023-03-10,3861.5900878906
2023-03-13,3855.7600097656
2023-03-14,3919.2900390625
2023-03-15,3891.9299316406
2023-03-16,3960.2800292969
2023-03-17,3916.6398925781
2023-03-20,3951.5700683594
2023-03-21,4002.8701171875
2023-03-22,3936.9699707031
2023-03-23,3948.7199707031
2023-03-24,3970.9899902344
2023-03-27,3977.5300292969
2023-03-28,3971.2700195312
2023-03-29,4027.8100585938
2023-03-30,4050.830078125
2023-03-31,4109.3100585938
2023-04-03,4124.509765625
2023-04-04,4100.6000976562
2023-04-05,4090.3798828125
2023-04-06,4105.0200195312
2023-04-10,4109.1098632812
2023-04-11,4108.9399414062
2023-04-12,4091.9499511719
2023-04-13,4146.2202148438
2023-04-14,4137.6401367188
2023-04-17,4151.3198242188
2023-04-18,4154.8701171875
2023-04-19,4154.5200195312
2023-04-20,4129.7900390625
2023-04-21,4133.5200195312
2023-04-24,4137.0400390625
2023-04-25,4071.6298828125
2023-04-26,4055.9899902344
2023-04-27,4135.3500976562
2023-04-28,4169.4799804688
2023-05-01,4167.8701171875
2023-05-02,4119.580078125
2023-05-03,4090.75
2023-05-04,4061.2199707031
2023-05-05,4136.25
2023-05-08,4138.1201171875
2023-05-09,4119.169921875
2023-05-10,4137.6401367188
2023-05-11,4130.6201171875
2023-05-12,4124.080078125
2023-05-15,4136.2797851562
2023-05-16,4109.8999023438
2023-05-17,4158.7700195312
2023-05-18,4198.0498046875
2023-05-19,4191.9799804688
2023-05-22,4192.6298828125
2023-05-23,4145.580078125
2023-05-24,4115.240234375
2023-05-25,4151.2797851562
2023-05-26,4205.4501953125
2023-05-30,4205.5200195312
2023-05-31,4179.830078125
2023-06-01,4221.0200195312
2023-06-02,4282.3701171875
2023-06-05,4273.7900390625
2023-06-06,4283.8500976562
2023-06-07,4267.5200195312
2023-06-08,4293.9301757812
2023-06-09,4298.8598632812
2023-06-12,4338.9301757812
2023-06-13,4369.009765625
2023-06-14,4372.58984375
2023-06-15,4425.83984375
2023-06-16,4409.58984375
2023-06-20,4388.7099609375
2023-06-21,4365.6899414062
2023-06-22,4381.8901367188
2023-06-23,4348.330078125
2023-06-26,4328.8198242188
2023-06-27,4378.41015625
2023-06-28,4376.8598632812
2023-06-29,4396.4399414062
2023-06-30,4450.3798828125
2023-07-03,4455.58984375
2023-07-05,4446.8198242188
2023-07-06,4411.58984375
2023-07-07,4398.9501953125
2023-07-10,4409.5297851562
2023-07-11,4439.259765625
2023-07-12,4472.16015625
2023-07-13,4510.0400390625
2023-07-14,4505.419921875
2023-07-17,4522.7900390625
2023-07-18,4554.9799804688
2023-07-19,4565.7202148438
2023-07-20,4534.8701171875
2023-07-21,4536.33984375
2023-07-24,4554.6401367188
2023-07-25,4567.4599609375
2023-07-26,4566.75
2023-07-27,4537.41015625
2023-07-28,4582.2299804688
2023-07-31,4588.9599609375
2023-08-01,4576.7299804688
2023-08-02,4513.3901367188
2023-08-03,4501.8901367188
2023-08-04,4478.0297851562
2023-08-07,4518.4399414062
2023-08-08,4499.3798828125
2023-08-09,4467.7099609375
2023-08-10,4468.830078125
2023-08-11,4464.0498046875
2023-08-14,4489.7202148438
2023-08-15,4437.8598632812
2023-08-16,4404.330078125
2023-08-17,4370.3598632812
2023-08-18,4369.7099609375
2023-08-21,4399.7700195312
2023-08-22,4387.5498046875
2023-08-23,4436.009765625
2023-08-24,4376.3100585938
2023-08-25,4405.7099609375
2023-08-28,4433.3100585938
2023-08-29,4497.6298828125
2023-08-30,4514.8701171875
2023-08-31,4507.66015625
2023-09-01,4515.7700195312
2023-09-05,4496.830078125
